epoch,acc,loss,val_acc,val_loss
0,0.743172272298091,0.1724334294876725,0.796225,0.14404812012910842
1,0.8269631531758131,0.1273789703865206,0.835025,0.12355546715259552
2,0.8566806242866426,0.10909992888031732,0.84545,0.1168104170680046
3,0.8726329576143643,0.09851127924018203,0.848625,0.1136632567703724
4,0.8837141032183338,0.09093252913179078,0.857775,0.10941440401077271
5,0.8910112069550417,0.08552042810233862,0.86205,0.10883062058091164
6,0.8962017639510146,0.08142544423648848,0.861375,0.10891385911107063
7,0.8998825753424968,0.07863798571642087,0.866,0.10639557056128979
8,0.9032698250896442,0.07565144253801731,0.866025,0.10696412701010705
9,0.9054763763494039,0.07367076921862468,0.864375,0.10828773850798606
10,0.9078184176028798,0.07153745062231662,0.86105,0.11096051314175129
11,0.9091442839361726,0.0701062905580892,0.85975,0.1122573637008667
12,0.9103830495543849,0.06864520868585164,0.861075,0.11136227712631226
13,0.9115831037534573,0.06720833608271141,0.86095,0.11238161724805831
14,0.9128444510412627,0.06600657807947168,0.8611,0.11244161356091499
15,0.9130476860218382,0.06511028046754082,0.86035,0.11277749575376511
16,0.9140025678548267,0.06387986917226962,0.859,0.11340075796246529
17,0.91487680088509,0.06295152710736747,0.85265,0.11678374475836754
18,0.9151122953951393,0.06239671210841484,0.8552,0.11693343319296837
19,0.9155961882153362,0.06159534342127201,0.85005,0.11824760736823083
20,0.9164317098199223,0.06068527409450105,0.8526,0.11843144291043281
21,0.9171156116700933,0.05973845780081142,0.846825,0.11948344352841377
22,0.9179188737532816,0.05902941120782218,0.852275,0.12079003760814666
23,0.918170498023645,0.05835918329276031,0.844525,0.1223421694099903
24,0.9182640506314683,0.05773909795487648,0.83665,0.12419998705387116
