epoch,acc,loss,val_acc,val_loss
0,0.7250926459688709,0.1833027085666142,0.7482,0.17068127553462983
1,0.7595404759944001,0.16478532194954626,0.75545,0.16599730210304262
2,0.7803261138104257,0.15351609985533732,0.767275,0.16055430320501327
3,0.798317274698729,0.1430182473309175,0.7664,0.15982695974111558
4,0.8155809931647863,0.13311575315488763,0.771575,0.1577875126004219
5,0.8315078646133575,0.12360176734640406,0.773975,0.16069710627794265
6,0.8460457327953005,0.11455525654426417,0.77465,0.16028559416532517
7,0.8600428230256114,0.10573853452804044,0.77615,0.16074287720918656
8,0.8710038705426995,0.09833171465669208,0.7777,0.16453594799041749
9,0.8822009937137995,0.0911615169721962,0.782175,0.16304261606931686
10,0.8893491449120207,0.08602844918986392,0.77975,0.1669905267715454
11,0.8982760987125642,0.08009622824218553,0.7796,0.16933735626935958
12,0.9046666117653518,0.07556212901868808,0.78425,0.16930719482898712
13,0.911510060665953,0.07101454403975013,0.7701,0.17921304230690002
14,0.9165637267012545,0.06731954651900764,0.777375,0.17621039917469025
15,0.9212275934008619,0.0642709928561276,0.787225,0.17359341084957122
16,0.9239781492766752,0.06192116755918224,0.786325,0.17398409951925278
17,0.9279722199346674,0.05907448195752322,0.783975,0.17614208607673645
18,0.9306321886409179,0.05703098485129409,0.778925,0.18074902024269104
19,0.932916083340196,0.05539194235052863,0.78445,0.17870906072854995
20,0.9352823300118038,0.053532885822238876,0.7824,0.1806401389479637
21,0.937407010897911,0.05198467402834031,0.779425,0.18182076086997986
22,0.9390320898185511,0.05082113190077811,0.77095,0.18948261967897415
23,0.9412995141233632,0.04901452267856374,0.78655,0.18018764461278916
24,0.9422849927255758,0.048261186307208645,0.782625,0.18359734134674072
