epoch,acc,loss,val_acc,val_loss
0,0.6487387487896019,0.21830987931622547,0.7130000009536743,0.19644577765464782
1,0.7006334038174991,0.19578211850021293,0.7140000009536743,0.19451740145683288
2,0.7268585399304884,0.18189912363646732,0.7170000004768372,0.18959087586402892
3,0.7504167130277188,0.17181181236199106,0.668,0.20664211440086364
4,0.7684187132234719,0.15982677230922127,0.6979999990463257,0.19470464920997618
5,0.7878653184216954,0.14946943443508223,0.7110000004768372,0.20035917496681213
6,0.7976441827465764,0.14107600568314235,0.703,0.20055533015727997
7,0.812201355739307,0.13133752036474192,0.6799999990463257,0.21262933552265167
8,0.8249805534610564,0.1254661433669458,0.6660000009536743,0.24030786085128783
9,0.8395377264339164,0.11572092016950847,0.676,0.23702558636665344
10,0.8487609734812344,0.1092475112500701,0.6910000004768372,0.2269863212108612
11,0.865207245275966,0.09887637606722499,0.6830000009536743,0.2356473479270935
12,0.8816535171104386,0.08716933946534519,0.6569999990463257,0.26642879724502566
13,0.8880986776705887,0.08488244899896426,0.6680000004768372,0.2457200640439987
14,0.9035448383484858,0.07473559629332292,0.6699999990463257,0.2588531627655029
15,0.9145460606734082,0.0674961145912084,0.6709999995231628,0.275331440448761
16,0.9249916657737552,0.061318498782474924,0.677,0.2658307409286499
17,0.9274363818400727,0.05891083614824745,0.675,0.2734516746997833
18,0.936437381964443,0.054071747997705505,0.654,0.2831995170116425
19,0.9404378264450288,0.049822243991736265,0.6719999995231628,0.2798880604505539
20,0.9427714190465607,0.0472368573580951,0.6620000009536743,0.2892382538318634
